name,price,property_type,bedrooms,bathrooms,sqm,year_built,features,city,governorate,address,description
Alamain (Latin District),"4,121,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building F07 Floor 3 Unit Z05-CL03-F07-M4-03-13 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Zahya,"10,837,000 EGP","Residential, Twinhouse",3,0,360.0,2024,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH143 Floor Ground Unit ZH4C143A Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Beachfront Tower - B1,"66,602,000 EGP","Residential, Apartment",3,3,398.0,2025,['Other'],Mersa Matruh,Matrouh,Building BTB1 Floor 13th floor Unit BTB1131 Beachfront Tower - B1 Mersa Matruh (k) Matrouh Egypt,"Explore a lifestyle that allows you to have your work office set close to all amenities that create the work-life balance you aspire for. Mazarine Hub, a great business district, introduces office buildings, retail spaces and F&B, set in the core of all Mazarine projects. Beachfront Towers bring a podium of four floors, with a wide range of local and international brand name retail shops with capacious terraces, overlooking the crystalline sea. Its deck is designed to have outdoor greenery, landscape, gardens, pools & water features."
Al Fustat,"4,172,000 EGP","Residential, Apartment",0,0,154.88,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",Old Cairo,Cairo,Building A11 Floor 2 Unit A11 2/2 Al Fustat Old Cairo Old Cairo Cairo Egypt,"Arabesque Downtown is the latest iconic destination by Saudi Egyptian Developers (SED), located in the heart of New Alamein’s Downtown district. Blending authentic Arabesque architectural charm with modern urban living, the project offers a unique cultural experience in a contemporary setting.This mixed-use development features a vibrant collection of residential units, commercial spaces, and lifestyle amenities – all set within a walkable, dynamic environment designed to celebrate art, culture, and community. Each unit is delivered fully finished, with stylish interiors and thoughtfully designed layouts that reflect both tradition and modernity.Strategically situated near key landmarks, Arabesque Downtown provides easy access to the beach, promenade, retail zones, and public services, making it an ideal choice for those seeking a well-connected, high-value investment or year-round residence.Live where culture meets convenience – only at Arabesque Downtown&#160;by&#160;SED."
Mazarine Apartment,"17,611,000 EGP","Residential, Apartment",3,3,252.0,2025,"['24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZAB32 Floor 3rd floor Unit B32RA41 Mazarine Apartment Mersa Matruh (k) Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
Jade Park,"9,942,000 EGP","Residential, Apartment",3,2,278.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 2L Floor 3th floor Unit JP2L33 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
AlMaqsad Park,"4,851,000 EGP","Residential, Apartment",2,0,158.0,2025,"['Other', 'Building Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MPE29 Floor 4 Unit MPE2944 AlMaqsad Park New Administrative Capital Cairo Cairo Egypt,"Carefully designed to maximize life within nature, AlMaqsad Parks provides unparalleled relaxation for those seeking added privacy amidst lush landscapes. With exceptional spaces to live in, expansive views of greenery, and inspiring amenities all around, discover your own tranquil home in the heart of The New Capital at AlMaqsad Parks."
Downtown Extension,"9,399,000 EGP","Residential, Apartment",3,3,285.0,2025,"['Elevator(s)', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DTB08A Floor mezzanine Unit DTB08AM1 Downtown Extension Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Central,"34,326,000 EGP","Commercial, Office",0,0,181.47,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",New Cairo,Cairo,Building O7 Floor 4 Unit O7-04-B Central New Cairo Cairo Egypt,"True to its name, Central is situated at the center point of New Cairo's crossroads. Central is set to transform the business and commercial scene, offering a mixed-use development that captures the spirit of a dynamic city with an evolving blend of spaces and experiences. Offering a variety of office types alongside a selection of the most refined retail and entertainment, bringing an outstanding world-class experience to New Cairo. Whether searching for the ideal office space for a corporation, a go-to spot for your daily coffee runs, or a family-friendly venue, Central will meet you at the crossroads."
Alamain (Latin District),"8,648,000 EGP","Residential, Apartment",4,0,242.03,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building A11 Floor 7 Unit Z05-CL02-A11-X7-07-03 Alamain (Latin District) North Coast  Alexandria Egypt,"One of the main districts in this new city neighboring the Heritage City with boundless views of lakes and a distinct architecture, it is easy to forget you aren’t strolling Madrid’s Gran via with the sights, sounds and sensations that invite you in. Il LATINI offers residents a premium lifestyle surrounded by landscaped greenery with countless paths for you to stroll along. Il LATINI offers a great way of life, all of its own. High quality, value for money real estate solutions through mixed used development to better serve our customers. We are the go-to trusted community value add services partner, providing high quality, value for money real estate solutions through mixed used development to better serve our customers"
Mazarine Apartment,"15,755,000 EGP","Residential, Apartment",3,3,252.0,2025,"['24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZTF01 Floor ground floor Unit MZTF0102 Mazarine Apartment Mersa Matruh (k) Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
Al Fustat,"3,170,000 EGP","Residential, Apartment",0,0,124.69,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",Old Cairo,Cairo,Building B8 Floor G Unit B8 0/3 Al Fustat Old Cairo Old Cairo Cairo Egypt,"Arabesque Downtown is the latest iconic destination by Saudi Egyptian Developers (SED), located in the heart of New Alamein’s Downtown district. Blending authentic Arabesque architectural charm with modern urban living, the project offers a unique cultural experience in a contemporary setting.This mixed-use development features a vibrant collection of residential units, commercial spaces, and lifestyle amenities – all set within a walkable, dynamic environment designed to celebrate art, culture, and community. Each unit is delivered fully finished, with stylish interiors and thoughtfully designed layouts that reflect both tradition and modernity.Strategically situated near key landmarks, Arabesque Downtown provides easy access to the beach, promenade, retail zones, and public services, making it an ideal choice for those seeking a well-connected, high-value investment or year-round residence.Live where culture meets convenience – only at Arabesque Downtown&#160;by&#160;SED."
Beachfront Tower - B1,"34,518,000 EGP","Residential, Apartment",2,3,217.0,2025,['Other'],Mersa Matruh,Matrouh,Building BTB1 Floor 20th floor Unit BTB1207 Beachfront Tower - B1 Mersa Matruh (k) Matrouh Egypt,"Explore a lifestyle that allows you to have your work office set close to all amenities that create the work-life balance you aspire for. Mazarine Hub, a great business district, introduces office buildings, retail spaces and F&B, set in the core of all Mazarine projects. Beachfront Towers bring a podium of four floors, with a wide range of local and international brand name retail shops with capacious terraces, overlooking the crystalline sea. Its deck is designed to have outdoor greenery, landscape, gardens, pools & water features."
Mazarine Apartment,"14,253,000 EGP","Residential, Apartment",3,3,258.0,2022,"['Elevator(s)', 'Other', '24 Hour Security', 'Gate Community', 'Security Gate', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZTF30 Floor 6 Unit MZTF3051 Mazarine Apartment Mersa Matruh (k) Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
Al Fustat,"4,303,000 EGP","Residential, Apartment",0,0,159.65,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",Old Cairo,Cairo,Building I13 Floor 6 Unit I13 6/1 Al Fustat Old Cairo Old Cairo Cairo Egypt,"Arabesque Downtown is the latest iconic destination by Saudi Egyptian Developers (SED), located in the heart of New Alamein’s Downtown district. Blending authentic Arabesque architectural charm with modern urban living, the project offers a unique cultural experience in a contemporary setting.This mixed-use development features a vibrant collection of residential units, commercial spaces, and lifestyle amenities – all set within a walkable, dynamic environment designed to celebrate art, culture, and community. Each unit is delivered fully finished, with stylish interiors and thoughtfully designed layouts that reflect both tradition and modernity.Strategically situated near key landmarks, Arabesque Downtown provides easy access to the beach, promenade, retail zones, and public services, making it an ideal choice for those seeking a well-connected, high-value investment or year-round residence.Live where culture meets convenience – only at Arabesque Downtown&#160;by&#160;SED."
Mazarine Commercial,"19,575,000 EGP","Commercial, Retail",0,0,183.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZSPC6 Floor 1 Unit MZSPC613 Mazarine Commercial Mersa Matruh (k) Matrouh Egypt,"Nestled in Egypt’s flourishing Mazarine, Mazarine Sapphire Commercial offers the lively blend of modernity, luxury, charm and culture. The project merges various elements of style, offerings and surroundings, using vibrant techniques to outline the high standards for contemporary delight. The luxury district comes in 60 shops for light F&B being top-notch, as well as dashing retail stores. All shops are set across buildings, where each includes three shops on the ground floor, in addition to another three on the first floor. With a separate entryway from the rest of the residential building, Mazarine Sapphire Commercial is designed to grant the maximum privacy in an ideally positioned area that satisfies and guarantees appeal to business owners and visitors."
Central,"36,036,000 EGP","Commercial, Office",0,0,176.52,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",New Cairo,Cairo,Building O6 Floor 2 Unit O6-02-E Central New Cairo Cairo Egypt,"True to its name, Central is situated at the center point of New Cairo's crossroads. Central is set to transform the business and commercial scene, offering a mixed-use development that captures the spirit of a dynamic city with an evolving blend of spaces and experiences. Offering a variety of office types alongside a selection of the most refined retail and entertainment, bringing an outstanding world-class experience to New Cairo. Whether searching for the ideal office space for a corporation, a go-to spot for your daily coffee runs, or a family-friendly venue, Central will meet you at the crossroads."
PODIA,"15,006,000 EGP","Commercial, Retail",0,0,64.5,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 1st Unit MPR-0110 Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Alamain (Latin District),"5,902,000 EGP","Residential, Apartment",4,0,247.46,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building B01 Floor G Unit Z05-CL12-B01-X7-S2-00-04 Alamain (Latin District) North Coast  Alexandria Egypt,"One of the main districts in this new city neighboring the Heritage City with boundless views of lakes and a distinct architecture, it is easy to forget you aren’t strolling Madrid’s Gran via with the sights, sounds and sensations that invite you in. Il LATINI offers residents a premium lifestyle surrounded by landscaped greenery with countless paths for you to stroll along. Il LATINI offers a great way of life, all of its own. High quality, value for money real estate solutions through mixed used development to better serve our customers. We are the go-to trusted community value add services partner, providing high quality, value for money real estate solutions through mixed used development to better serve our customers"
Mazarine Apartment,"14,863,000 EGP","Residential, Apartment",3,3,252.0,2025,"['24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZTF13 Floor ground floor Unit MZTF1301 Mazarine Apartment Mersa Matruh (k) Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
Beachfront Tower - B1,"25,915,000 EGP","Residential, Apartment",0,0,217.0,2025,['Other'],Mersa Matruh,Matrouh,Building BTB1 Floor 20th floor Unit BTB1203 Beachfront Tower - B1 Mersa Matruh (k) Matrouh Egypt,"Explore a lifestyle that allows you to have your work office set close to all amenities that create the work-life balance you aspire for. Mazarine Hub, a great business district, introduces office buildings, retail spaces and F&B, set in the core of all Mazarine projects. Beachfront Towers bring a podium of four floors, with a wide range of local and international brand name retail shops with capacious terraces, overlooking the crystalline sea. Its deck is designed to have outdoor greenery, landscape, gardens, pools & water features."
AlMaqsad Park,"4,438,000 EGP","Residential, Apartment",3,0,134.0,2025,"['Other', 'Building Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MPE47 Floor 7 Unit MPE4772 AlMaqsad Park New Administrative Capital Cairo Cairo Egypt,"Carefully designed to maximize life within nature, AlMaqsad Parks provides unparalleled relaxation for those seeking added privacy amidst lush landscapes. With exceptional spaces to live in, expansive views of greenery, and inspiring amenities all around, discover your own tranquil home in the heart of The New Capital at AlMaqsad Parks."
Central,"36,501,000 EGP","Commercial, Office",0,0,172.97,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",New Cairo,Cairo,Building O4 Floor 5 Unit O4-05-I Central New Cairo Cairo Egypt,"True to its name, Central is situated at the center point of New Cairo's crossroads. Central is set to transform the business and commercial scene, offering a mixed-use development that captures the spirit of a dynamic city with an evolving blend of spaces and experiences. Offering a variety of office types alongside a selection of the most refined retail and entertainment, bringing an outstanding world-class experience to New Cairo. Whether searching for the ideal office space for a corporation, a go-to spot for your daily coffee runs, or a family-friendly venue, Central will meet you at the crossroads."
Beachfront Tower - B1,"66,228,000 EGP","Residential, Apartment",3,3,398.0,2025,['Other'],Mersa Matruh,Matrouh,Building BTB1 Floor 10th floor Unit BTB1101 Beachfront Tower - B1 Mersa Matruh (k) Matrouh Egypt,"Explore a lifestyle that allows you to have your work office set close to all amenities that create the work-life balance you aspire for. Mazarine Hub, a great business district, introduces office buildings, retail spaces and F&B, set in the core of all Mazarine projects. Beachfront Towers bring a podium of four floors, with a wide range of local and international brand name retail shops with capacious terraces, overlooking the crystalline sea. Its deck is designed to have outdoor greenery, landscape, gardens, pools & water features."
Zahya,"10,544,000 EGP","Residential, Twinhouse",3,0,350.5,2024,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZHM224 Floor Ground floor Unit ZHM224A Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Zahya,"11,650,000 EGP","Residential, Twinhouse",3,2,358.0,2025,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH1C329B Floor Ground floor Unit ZH1C329B Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Central,"43,465,000 EGP","Commercial, Office",0,0,211.89,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",New Cairo,Cairo,Building O10 Floor 6 Unit O10-06-C Central New Cairo Cairo Egypt,"True to its name, Central is situated at the center point of New Cairo's crossroads. Central is set to transform the business and commercial scene, offering a mixed-use development that captures the spirit of a dynamic city with an evolving blend of spaces and experiences. Offering a variety of office types alongside a selection of the most refined retail and entertainment, bringing an outstanding world-class experience to New Cairo. Whether searching for the ideal office space for a corporation, a go-to spot for your daily coffee runs, or a family-friendly venue, Central will meet you at the crossroads."
Mazarine Apartment,"13,938,000 EGP","Residential, Apartment",3,3,252.0,2025,"['24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZTF12 Floor 5th floor Unit MZTF1252 Mazarine Apartment Mersa Matruh (k) Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
Al Fustat,"4,134,000 EGP","Residential, Apartment",0,0,159.47,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",Old Cairo,Cairo,Building B63 Floor 4 Unit B63 4/3 Al Fustat Old Cairo Old Cairo Cairo Egypt,"Arabesque Downtown is the latest iconic destination by Saudi Egyptian Developers (SED), located in the heart of New Alamein’s Downtown district. Blending authentic Arabesque architectural charm with modern urban living, the project offers a unique cultural experience in a contemporary setting.This mixed-use development features a vibrant collection of residential units, commercial spaces, and lifestyle amenities – all set within a walkable, dynamic environment designed to celebrate art, culture, and community. Each unit is delivered fully finished, with stylish interiors and thoughtfully designed layouts that reflect both tradition and modernity.Strategically situated near key landmarks, Arabesque Downtown provides easy access to the beach, promenade, retail zones, and public services, making it an ideal choice for those seeking a well-connected, high-value investment or year-round residence.Live where culture meets convenience – only at Arabesque Downtown."
Mazarine Apartment,"17,347,000 EGP","Residential, Apartment",3,3,266.3,2022,"['Elevator(s)', 'Other', '24 Hour Security', 'Gate Community', 'Water Available']",North Coast,Matrouh,Building MZAB17 Floor 8 Unit B171RA51 Mazarine Apartment North Coast  Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
New Garden City,"7,860,000 EGP","Residential, Apartment",2,0,183.0,2025,"['Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G722 Floor 7th floor Unit G72272 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
Downtown Extension,"7,676,000 EGP","Residential, Apartment",2,3,163.0,2022,"['Elevator(s)', 'Other', '24 Hour Security', 'Gate Community', 'Water Available']",North Coast,Matrouh,Building DTB12A Floor 7 Unit DTB12A22 Downtown Extension North Coast  Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Central,"35,769,000 EGP","Commercial, Office",0,0,181.47,2025,"['Elevator(s)', 'Gate Community', 'Electricity Available']",New Cairo,Cairo,Building O7 Floor 5 Unit O7-05-B Central New Cairo Cairo Egypt,"True to its name, Central is situated at the center point of New Cairo's crossroads. Central is set to transform the business and commercial scene, offering a mixed-use development that captures the spirit of a dynamic city with an evolving blend of spaces and experiences. Offering a variety of office types alongside a selection of the most refined retail and entertainment, bringing an outstanding world-class experience to New Cairo. Whether searching for the ideal office space for a corporation, a go-to spot for your daily coffee runs, or a family-friendly venue, Central will meet you at the crossroads."
