name,price,property_type,bedrooms,bathrooms,sqm,year_built,features,city,governorate,address,description
PODIA,"19,237,000 EGP","Commercial, Retail",0,0,61.0,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 1 Unit MPR-0121-A Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Jade Park,"14,811,000 EGP","Residential, Apartment",4,2,380.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 1R Floor 6th floor Unit JP1R62 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
Alamain (Latin District),"11,523,000 EGP","Residential, Apartment",3,0,214.43,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E06 Floor 2 Unit Z03-CL05-E06-M7-02-03 Alamain (Latin District) North Coast  Alexandria Egypt,"One of the main districts in this new city neighboring the Heritage City with boundless views of lakes and a distinct architecture, it is easy to forget you aren’t strolling Madrid’s Gran via with the sights, sounds and sensations that invite you in. Il LATINI offers residents a premium lifestyle surrounded by landscaped greenery with countless paths for you to stroll along. Il LATINI offers a great way of life, all of its own. High quality, value for money real estate solutions through mixed used development to better serve our customers. We are the go-to trusted community value add services partner, providing high quality, value for money real estate solutions through mixed used development to better serve our customers"
Alamain (Latin District),"7,064,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building F04 Floor 4 Unit Z02-CL05-F04-X7-04-11 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Alamain (Latin District),"3,026,000 EGP","Residential, Apartment",2,0,121.69,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building D21 Floor 5 Unit Z05-CL01-D21-X7-05-05 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Alamain (Latin District),"5,998,000 EGP","Residential, Apartment",3,0,214.62,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E10 Floor 2 Unit Z05-CL02-E10-M7-02-01 Alamain (Latin District) North Coast  Alexandria Egypt,"One of the main districts in this new city neighboring the Heritage City with boundless views of lakes and a distinct architecture, it is easy to forget you aren’t strolling Madrid’s Gran via with the sights, sounds and sensations that invite you in. Il LATINI offers residents a premium lifestyle surrounded by landscaped greenery with countless paths for you to stroll along. Il LATINI offers a great way of life, all of its own. High quality, value for money real estate solutions through mixed used development to better serve our customers. We are the go-to trusted community value add services partner, providing high quality, value for money real estate solutions through mixed used development to better serve our customers"
New Garden City,"8,455,000 EGP","Residential, Apartment",2,0,177.0,2025,"['Fire Escape', 'Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G645 Floor Ground floor Unit G645G2 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
T- Residences,"2,945,154 EGP","Residential, Apartment",3,1,130.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-12 Floor 6 Unit 61 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
Downtown commercial,"22,118,000 EGP","Commercial, Retail",0,0,224.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT04 Floor Ground floor Unit DTRG0418 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Alamain (Latin District),"7,444,000 EGP","Residential, Apartment",4,0,230.55,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building A13 Floor 3 Unit Z05-CL11-A13-M7-03-04 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Alamain (Latin District),"11,394,000 EGP","Residential, Apartment",3,3,212.03,2025,"['24 Hour Security', 'Building Security', 'Fire Escape', 'Security Gate', 'Cable Available', 'Electricity Available', 'Natural Gas Available', 'Phone Available', 'Sewer Available', 'Water Available']",North Coast,Matrouh,Building E06 Floor 6 Unit Z03-CL05-E06-M7-06-03 Alamain (Latin District) North Coast  Matrouh Egypt,The Future Is Present
Alamain (Latin District),"2,642,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building D18 Floor 7 Unit Z05-CL01-D18-X7-07-03 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Alamain (Latin District),"2,697,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building D21 Floor 5 Unit Z05-CL01-D21-X7-05-02 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Downtown commercial,"34,826,000 EGP","Commercial, Retail",0,0,338.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT14 Floor Ground floor Unit DTRG1407 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
PODIA,"12,931,000 EGP","Commercial, Office",0,0,98.0,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 9 Unit MPO-0916-B Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Alamain (Latin District),"1,810,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building D21 Floor 3 Unit Z05-CL01-D21-X7-03-11 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Alamain (Latin District),"10,916,000 EGP","Residential, Apartment",3,0,205.01,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E03 Floor G Unit Z03-CL07-E03-X4-00-02 Alamain (Latin District) North Coast  Alexandria Egypt,"One of the main districts in this new city neighboring the Heritage City with boundless views of lakes and a distinct architecture, it is easy to forget you aren’t strolling Madrid’s Gran via with the sights, sounds and sensations that invite you in. Il LATINI offers residents a premium lifestyle surrounded by landscaped greenery with countless paths for you to stroll along. Il LATINI offers a great way of life, all of its own. High quality, value for money real estate solutions through mixed used development to better serve our customers. We are the go-to trusted community value add services partner, providing high quality, value for money real estate solutions through mixed used development to better serve our customers"
Mamsha Avenue,"12,147,000 EGP","Residential, Apartment",4,0,390.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MAA15A Floor 5 Unit MAA15A52 Mamsha Avenue New Administrative Capital Cairo Cairo Egypt,"Mamsha Avenue is the premier residence created for those looking for an elevated lifestyle and special community experience. It is the place where you can treat your eyes and soul to splendid views of land-spaces and greenery. Mamsha Avenue brings you the most eminent residential units, office spaces, restaurants, cafes and medical facilities… all together."
Downtown commercial,"20,518,000 EGP","Commercial, Retail",0,0,232.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT03 Floor Ground floor Unit DTRG0303 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Alamain (Latin District),"8,192,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building F07 Floor 4 Unit Z02-CL04-F07-M7-04-02 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
PODIA,"15,397,000 EGP","Commercial, Retail",0,0,60.0,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 1st Unit MPR-0101 Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Zahya,"11,616,000 EGP","Residential, Townhouse",3,0,504.0,2024,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH3M252 Unit ZH3M252A Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Jade Park,"8,433,000 EGP","Residential, Apartment",3,2,220.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 3R Floor 1st floor Unit JP3R13 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
Maspero Business Tower Nile Heights,"12,529,000 EGP","Commercial, Office",0,0,184.0,2023,"['Other', '24 Hour Security', 'Gate Community', 'Electricity Available']",Cairo,Cairo,Building NH Floor 9th floor Unit NHAD0902 Maspero Business Tower Nile Heights Cairo Cairo Cairo Egypt,"From remarkable views of Cairo’s dazzling cityscape to renowned commercial experiences, Nile Heights is a momentous business tower that provides a futuristic setting for Cairenes. A place that brings the city’s monumental architecture, vast skyline, Nile River, lush spaces and vibrant sunsets into daily office views. Nile Heights is a symbol of business prosperity in Cairo’s most central address. The 24-storey business tower accommodates a spacious upper garage, a ground-level commercial podium, and 134 fully finished office spaces ranging between 92 sqm to 206 sqm. A wide range of amenities is designed to promise daily inspiration, central convenience and exceptional experiences for your thriving business."
Downtown commercial,"15,713,000 EGP","Commercial, Retail",0,0,173.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT14 Floor Ground floor Unit DTRG1406 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Downtown commercial,"20,540,000 EGP","Commercial, Retail",0,0,200.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT08 Floor Ground floor Unit DTRG0830 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Zahya,"10,154,000 EGP","Residential, Twinhouse",3,0,410.0,2024,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH3M212 Unit ZH3M212A Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Alamain (Latin District),"7,240,000 EGP","Residential, Apartment",2,3,134.23,2025,"['Other', 'Security Gate', 'Electricity Available', 'Water Available']",North Coast,Alexandria,Building F07 Floor 04 Unit Z02-CL05-F07-M7-04-08 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
T- Residences,"2,945,154 EGP","Residential, Apartment",3,1,130.0,2024,"['24 Hour Security', 'Electricity Available']",North Coast,Matrouh,Building C-3 Floor 1st Unit 14 T- Residences North Coast  Matrouh Egypt,"Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."
Alamain (Latin District),"6,406,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building A02 Floor 6 Unit Z03-CL02-A02-X7-06-01 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Mazarine Commercial,"19,575,000 EGP","Commercial, Retail",0,0,183.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZSPC6 Floor 1 Unit MZSPC613 Mazarine Commercial Mersa Matruh (k) Matrouh Egypt,"Nestled in Egypt’s flourishing Mazarine, Mazarine Sapphire Commercial offers the lively blend of modernity, luxury, charm and culture. The project merges various elements of style, offerings and surroundings, using vibrant techniques to outline the high standards for contemporary delight. The luxury district comes in 60 shops for light F&B being top-notch, as well as dashing retail stores. All shops are set across buildings, where each includes three shops on the ground floor, in addition to another three on the first floor. With a separate entryway from the rest of the residential building, Mazarine Sapphire Commercial is designed to grant the maximum privacy in an ideally positioned area that satisfies and guarantees appeal to business owners and visitors."
